"cc";"name";"domain";"url";"ori_amp_url";"amp_viewer_url";"amp_cdn_url"
"GM";"Point";"thepoint.gm";"http://thepoint.gm/africa/gambia/article/gyin-bullock-kapongha-youth-celebrate-iyd-plants-over-300-trees";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm//africa/gambia/article/new-company-to-drill-oil-well-in-40-days";NULL;NULL;NULL
"GM";"Foroyaa";"foroyaa.gm";"http://foroyaa.gm/over-a-hundred-thousand-gambians-suffer-from-mental-health-problems/";NULL;NULL;NULL
"GM";"Foroyaa";"foroyaa.gm";"http://foroyaa.gm/environment-column-minister-dibba-calls-for-concerted-effort-in-chemical-management/";NULL;NULL;NULL
"GM";"Foroyaa";"foroyaa.gm";"http://foroyaa.gm/pardoned-norwegian-would-be-handed-over-if-released-interior-minister-mballow/";NULL;NULL;NULL
"GM";"Foroyaa";"foroyaa.gm";"http://foroyaa.gm/halifa-darboe-debate-on-situation-of-gambia-returnees/";NULL;NULL;NULL
"GM";"Foroyaa";"foroyaa.gm";"http://foroyaa.gm/life-of-the-rural-people-what-is-the-situation-of-access-to-safe-drinking-water-in-gambia/";NULL;NULL;NULL
"GM";"Foroyaa";"foroyaa.gm";"http://foroyaa.gm/multi-million-dollar-tomato-factory-sets-for-production/";NULL;NULL;NULL
"GM";"Foroyaa";"foroyaa.gm";"http://foroyaa.gm/education-curriculum-should-include-debate-public-speaking-mustapha-kah/";NULL;NULL;NULL
"PH";"Sunday Punch";"punch.dagupan.com";"http://punch.dagupan.com/articles/news/2018/08/12-drug-pushers-arrested-in-8-towns-1-city/\"
PH\"";NULL;NULL;NULL
"MA";"Maghrebe Arabe Presse";"www.map.ma";"http://www.map.ma//ar/مستجداتنا/إدارة‭-‬المجموعات‭-‬على‭-‬شبكة‭-‬التواصل‭-‬الاجتماعي-‬-‮لاماب‮‬‭-\"‬تقدم‭-‬أسس‭-‬وكالة‭-‬الأنباء‭-‬الحديثة\"";NULL;NULL;NULL
"MA";"Maghrebe Arabe Presse";"www.map.ma";"http://www.map.ma//ar/مستجداتنا/التصوير-الصحفي-دورة‭-‬تكوينية‭-‬لفائدة‭-‬مصوري‭-‬الوكالة";NULL;NULL;NULL
